Wavelength (nm),% Transmission,Optical Density,
2421,41.94283,0.37734,
2420,41.90354,0.37775,
2419,41.86734,0.37812,
2418,41.8155,0.37866,
2417,41.76184,0.37922,
2416,41.71119,0.37975,
2415,41.63801,0.38051,
2414,41.55669,0.38136,
2413,41.45347,0.38244,
2412,41.32048,0.38383,
2411,41.18453,0.38527,
2410,41.03025,0.38690,
2409,40.87712,0.38852,
2408,40.72567,0.39013,
2407,40.5613,0.39189,
2406,40.42247,0.39338,
2405,40.29461,0.39475,
2404,40.21038,0.39566,
2403,40.17191,0.39608,
2402,40.16256,0.39618,
2401,40.19114,0.39587,
2400,40.24464,0.39529,
2399,40.31521,0.39453,
2398,40.41182,0.39349,
2397,40.51579,0.39238,
2396,40.62707,0.39118,
2395,40.74179,0.38996,
2394,40.83638,0.38895,
2393,40.92686,0.38799,
2392,41.00978,0.38711,
2391,41.09145,0.38625,
2390,41.17977,0.38532,
2389,41.27368,0.38433,
2388,41.37125,0.38330,
2387,41.46967,0.38227,
2386,41.56765,0.38124,
2385,41.67074,0.38017,
2384,41.77997,0.37903,
2383,41.88006,0.37799,
2382,41.98555,0.37690,
2381,42.06514,0.37608,
2380,42.13978,0.37531,
2379,42.17916,0.37490,
2378,42.21631,0.37452,
2377,42.23941,0.37428,
2376,42.2598,0.37407,
2375,42.25613,0.37411,
2374,42.26698,0.37400,
2373,42.26041,0.37407,
2372,42.27312,0.37394,
2371,42.29249,0.37374,
2370,42.32509,0.37340,
2369,42.35522,0.37309,
2368,42.38665,0.37277,
2367,42.42335,0.37240,
2366,42.46317,0.37199,
2365,42.51536,0.37145,
2364,42.5855,0.37074,
2363,42.67594,0.36982,
2362,42.75922,0.36897,
2361,42.86528,0.36789,
2360,42.95512,0.36699,
2359,43.05421,0.36598,
2358,43.11834,0.36534,
2357,43.17861,0.36473,
2356,43.19389,0.36458,
2355,43.18476,0.36467,
2354,43.14833,0.36504,
2353,43.11482,0.36537,
2352,43.08296,0.36569,
2351,43.06501,0.36588,
2350,43.0608,0.36592,
2349,43.06061,0.36592,
2348,43.08343,0.36569,
2347,43.10767,0.36545,
2346,43.16172,0.36490,
2345,43.19901,0.36453,
2344,43.25392,0.36397,
2343,43.27375,0.36378,
2342,43.30029,0.36351,
2341,43.30243,0.36349,
2340,43.2981,0.36353,
2339,43.26936,0.36382,
2338,43.23281,0.36419,
2337,43.16397,0.36488,
2336,43.0556,0.36597,
2335,42.93676,0.36717,
2334,42.78722,0.36869,
2333,42.62985,0.37029,
2332,42.46414,0.37198,
2331,42.28357,0.37383,
2330,42.09119,0.37581,
2329,41.90097,0.37778,
2328,41.70551,0.37981,
2327,41.50209,0.38193,
2326,41.30435,0.38400,
2325,41.06921,0.38648,
2324,40.82198,0.38911,
2323,40.52983,0.39223,
2322,40.21607,0.39560,
2321,39.86855,0.39937,
2320,39.51901,0.40319,
2319,39.18752,0.40685,
2318,38.88531,0.41021,
2317,38.64926,0.41286,
2316,38.49177,0.41463,
2315,38.41663,0.41548,
2314,38.42395,0.41540,
2313,38.49347,0.41461,
2312,38.61493,0.41324,
2311,38.75963,0.41162,
2310,38.92067,0.40982,
2309,39.08571,0.40798,
2308,39.22335,0.40646,
2307,39.33047,0.40527,
2306,39.39885,0.40452,
2305,39.43666,0.40410,
2304,39.46608,0.40378,
2303,39.47369,0.40369,
2302,39.50252,0.40338,
2301,39.52834,0.40309,
2300,39.57533,0.40258,
2299,39.64346,0.40183,
2298,39.73039,0.40088,
2297,39.84159,0.39966,
2296,39.96606,0.39831,
2295,40.10715,0.39678,
2294,40.23882,0.39535,
2293,40.38123,0.39382,
2292,40.52748,0.39225,
2291,40.67583,0.39066,
2290,40.82948,0.38903,
2289,40.99686,0.38725,
2288,41.15941,0.38553,
2287,41.33248,0.38371,
2286,41.51168,0.38183,
2285,41.70087,0.37985,
2284,41.87535,0.37804,
2283,42.05929,0.37614,
2282,42.21531,0.37453,
2281,42.3447,0.37320,
2280,42.44923,0.37213,
2279,42.53011,0.37130,
2278,42.58512,0.37074,
2277,42.63665,0.37022,
2276,42.69261,0.36965,
2275,42.76426,0.36892,
2274,42.87719,0.36777,
2273,43.03535,0.36617,
2272,43.25624,0.36395,
2271,43.53365,0.36117,
2270,43.8872,0.35766,
2269,44.28909,0.35370,
2268,44.71822,0.34952,
2267,45.17684,0.34508,
2266,45.63819,0.34067,
2265,46.10573,0.33625,
2264,46.58276,0.33177,
2263,47.05811,0.32737,
2262,47.50521,0.32326,
2261,47.93423,0.31935,
2260,48.34827,0.31562,
2259,48.74798,0.31204,
2258,49.13118,0.30864,
2257,49.51925,0.30523,
2256,49.89162,0.30197,
2255,50.23739,0.29897,
2254,50.5825,0.29600,
2253,50.91326,0.29317,
2252,51.21894,0.29057,
2251,51.52417,0.28799,
2250,51.81019,0.28558,
2249,52.06298,0.28347,
2248,52.30281,0.28148,
2247,52.52263,0.27965,
2246,52.72257,0.27800,
2245,52.89849,0.27656,
2244,53.06276,0.27521,
2243,53.19875,0.27410,
2242,53.31528,0.27315,
2241,53.42243,0.27228,
2240,53.50224,0.27163,
2239,53.57739,0.27102,
2238,53.6401,0.27051,
2237,53.69753,0.27005,
2236,53.74248,0.26968,
2235,53.79795,0.26923,
2234,53.85581,0.26877,
2233,53.92439,0.26821,
2232,54.01099,0.26752,
2231,54.11469,0.26668,
2230,54.23404,0.26573,
2229,54.36338,0.26469,
2228,54.51124,0.26351,
2227,54.65847,0.26234,
2226,54.80179,0.26121,
2225,54.93028,0.26019,
2224,55.0444,0.25929,
2223,55.12831,0.25863,
2222,55.17633,0.25825,
2221,55.19395,0.25811,
2220,55.16608,0.25833,
2219,55.09288,0.25890,
2218,54.97008,0.25987,
2217,54.81479,0.26110,
2216,54.62445,0.26261,
2215,54.40134,0.26439,
2214,54.16398,0.26629,
2213,53.927,0.26819,
2212,53.69973,0.27003,
2211,53.49991,0.27165,
2210,53.35052,0.27286,
2209,53.24831,0.27369,
2208,53.19601,0.27412,
2207,53.21479,0.27397,
2206,53.28772,0.27337,
2205,53.40981,0.27238,
2204,53.58493,0.27096,
2203,53.78569,0.26933,
2202,54.00961,0.26753,
2201,54.25002,0.26560,
2200,54.48277,0.26374,
2199,54.72478,0.26182,
2198,54.93664,0.26014,
2197,55.11886,0.25870,
2196,55.27827,0.25745,
2195,55.42056,0.25633,
2194,55.52477,0.25551,
2193,55.61937,0.25477,
2192,55.69999,0.25414,
2191,55.77372,0.25357,
2190,55.85863,0.25291,
2189,55.94893,0.25221,
2188,56.06249,0.25133,
2187,56.19006,0.25034,
2186,56.33072,0.24925,
2185,56.49321,0.24800,
2184,56.64067,0.24687,
2183,56.7896,0.24573,
2182,56.9239,0.24471,
2181,57.03093,0.24389,
2180,57.12473,0.24318,
2179,57.18988,0.24268,
2178,57.22079,0.24245,
2177,57.21412,0.24250,
2176,57.15836,0.24292,
2175,57.0647,0.24363,
2174,56.9127,0.24479,
2173,56.69233,0.24648,
2172,56.41312,0.24862,
2171,56.0698,0.25127,
2170,55.67207,0.25436,
2169,55.22203,0.25789,
2168,54.78252,0.26136,
2167,54.33562,0.26492,
2166,53.94364,0.26806,
2165,53.65673,0.27038,
2164,53.46093,0.27196,
2163,53.39004,0.27254,
2162,53.42904,0.27222,
2161,53.59374,0.27089,
2160,53.83831,0.26891,
2159,54.14923,0.26641,
2158,54.49741,0.26362,
2157,54.86945,0.26067,
2156,55.235,0.25779,
2155,55.58619,0.25503,
2154,55.91206,0.25249,
2153,56.18512,0.25038,
2152,56.40633,0.24867,
2151,56.57938,0.24734,
2150,56.70107,0.24641,
2149,56.76679,0.24591,
2148,56.77942,0.24581,
2147,56.74472,0.24607,
2146,56.65331,0.24677,
2145,56.51942,0.24780,
2144,56.34701,0.24913,
2143,56.12955,0.25081,
2142,55.90249,0.25257,
2141,55.64122,0.25460,
2140,55.39117,0.25656,
2139,55.17163,0.25828,
2138,54.98548,0.25975,
2137,54.86448,0.26071,
2136,54.81135,0.26113,
2135,54.87192,0.26065,
2134,55.0103,0.25956,
2133,55.23481,0.25779,
2132,55.51335,0.25560,
2131,55.84528,0.25301,
2130,56.17033,0.25049,
2129,56.48921,0.24803,
2128,56.7826,0.24578,
2127,57.01866,0.24398,
2126,57.20199,0.24259,
2125,57.34193,0.24153,
2124,57.44653,0.24074,
2123,57.52005,0.24018,
2122,57.57372,0.23978,
2121,57.61795,0.23944,
2120,57.64989,0.23920,
2119,57.69367,0.23887,
2118,57.72533,0.23863,
2117,57.75182,0.23843,
2116,57.78502,0.23818,
2115,57.80533,0.23803,
2114,57.82105,0.23791,
2113,57.82589,0.23788,
2112,57.82454,0.23789,
2111,57.82296,0.23790,
2110,57.81209,0.23798,
2109,57.80884,0.23801,
2108,57.79797,0.23809,
2107,57.78102,0.23821,
2106,57.76511,0.23833,
2105,57.74551,0.23848,
2104,57.71592,0.23870,
2103,57.68465,0.23894,
2102,57.65157,0.23919,
2101,57.61269,0.23948,
2100,57.56598,0.23983,
2099,57.52374,0.24015,
2098,57.47697,0.24051,
2097,57.43206,0.24085,
2096,57.38123,0.24123,
2095,57.33149,0.24161,
2094,57.28352,0.24197,
2093,57.23503,0.24234,
2092,57.18175,0.24274,
2091,57.13594,0.24309,
2090,57.08944,0.24344,
2089,57.04116,0.24381,
2088,56.99461,0.24417,
2087,56.95753,0.24445,
2086,56.91064,0.24481,
2085,56.87992,0.24504,
2084,56.83631,0.24537,
2083,56.79416,0.24570,
2082,56.76603,0.24591,
2081,56.73048,0.24618,
2080,56.7024,0.24640,
2079,56.67176,0.24663,
2078,56.64672,0.24683,
2077,56.61747,0.24705,
2076,56.58675,0.24729,
2075,56.559,0.24750,
2074,56.52631,0.24775,
2073,56.49769,0.24797,
2072,56.46125,0.24825,
2071,56.43245,0.24847,
2070,56.39322,0.24877,
2069,56.35223,0.24909,
2068,56.31616,0.24937,
2067,56.26131,0.24979,
2066,56.21596,0.25014,
2065,56.16355,0.25055,
2064,56.10336,0.25101,
2063,56.05127,0.25141,
2062,55.99379,0.25186,
2061,55.927,0.25238,
2060,55.86479,0.25286,
2059,55.79784,0.25338,
2058,55.7278,0.25393,
2057,55.65839,0.25447,
2056,55.59109,0.25499,
2055,55.51712,0.25557,
2054,55.45102,0.25609,
2053,55.37663,0.25667,
2052,55.31194,0.25718,
2051,55.24457,0.25771,
2050,55.17524,0.25826,
2049,55.12143,0.25868,
2048,55.05918,0.25917,
2047,54.99326,0.25969,
2046,54.93707,0.26013,
2045,54.87492,0.26063,
2044,54.81457,0.26110,
2043,54.76326,0.26151,
2042,54.70632,0.26196,
2041,54.64624,0.26244,
2040,54.58706,0.26291,
2039,54.53493,0.26333,
2038,54.4782,0.26378,
2037,54.42611,0.26419,
2036,54.36459,0.26468,
2035,54.29732,0.26522,
2034,54.23058,0.26576,
2033,54.16915,0.26625,
2032,54.09116,0.26687,
2031,54.00723,0.26755,
2030,53.91993,0.26825,
2029,53.83311,0.26895,
2028,53.73857,0.26971,
2027,53.63727,0.27053,
2026,53.54813,0.27126,
2025,53.44019,0.27213,
2024,53.33509,0.27299,
2023,53.23401,0.27381,
2022,53.13178,0.27465,
2021,53.0211,0.27555,
2020,52.91409,0.27643,
2019,52.80292,0.27734,
2018,52.69761,0.27821,
2017,52.59283,0.27907,
2016,52.48706,0.27995,
2015,52.38799,0.28077,
2014,52.28853,0.28159,
2013,52.18229,0.28248,
2012,52.08952,0.28325,
2011,51.99622,0.28403,
2010,51.89956,0.28484,
2009,51.81396,0.28555,
2008,51.72583,0.28629,
2007,51.64657,0.28696,
2006,51.5593,0.28769,
2005,51.46464,0.28849,
2004,51.39186,0.28911,
2003,51.29892,0.28989,
2002,51.21146,0.29063,
2001,51.11826,0.29142,
2000,51.02713,0.29220,
1999,50.92144,0.29310,
1998,50.8209,0.29396,
1997,50.71611,0.29485,
1996,50.60426,0.29581,
1995,50.49053,0.29679,
1994,50.36961,0.29783,
1993,50.2402,0.29895,
1992,50.11605,0.30002,
1991,49.98571,0.30115,
1990,49.85284,0.30231,
1989,49.71612,0.30350,
1988,49.57404,0.30475,
1987,49.4319,0.30599,
1986,49.27906,0.30734,
1985,49.14095,0.30856,
1984,48.99416,0.30986,
1983,48.84568,0.31117,
1982,48.70857,0.31239,
1981,48.57198,0.31361,
1980,48.43196,0.31487,
1979,48.29201,0.31612,
1978,48.15748,0.31734,
1977,48.0409,0.31839,
1976,47.91532,0.31953,
1975,47.79145,0.32065,
1974,47.67123,0.32174,
1973,47.55548,0.32280,
1972,47.45262,0.32374,
1971,47.33918,0.32478,
1970,47.23441,0.32574,
1969,47.13861,0.32662,
1968,47.0347,0.32758,
1967,46.9214,0.32863,
1966,46.81232,0.32964,
1965,46.7049,0.33064,
1964,46.60391,0.33158,
1963,46.48658,0.33267,
1962,46.37178,0.33375,
1961,46.24144,0.33497,
1960,46.11907,0.33612,
1959,46.00249,0.33722,
1958,45.86704,0.33850,
1957,45.72787,0.33982,
1956,45.59374,0.34109,
1955,45.4523,0.34244,
1954,45.30419,0.34386,
1953,45.1473,0.34537,
1952,45.00234,0.34676,
1951,44.85804,0.34816,
1950,44.71095,0.34959,
1949,44.55543,0.35110,
1948,44.4048,0.35257,
1947,44.2653,0.35394,
1946,44.12561,0.35531,
1945,43.98585,0.35669,
1944,43.84342,0.35810,
1943,43.72052,0.35931,
1942,43.5923,0.36059,
1941,43.46842,0.36183,
1940,43.34735,0.36304,
1939,43.22869,0.36423,
1938,43.12545,0.36527,
1937,43.02015,0.36633,
1936,42.9141,0.36740,
1935,42.81139,0.36844,
1934,42.71011,0.36947,
1933,42.62067,0.37038,
1932,42.52022,0.37140,
1931,42.41274,0.37250,
1930,42.30701,0.37359,
1929,42.19791,0.37471,
1928,42.08749,0.37585,
1927,41.97048,0.37706,
1926,41.85704,0.37823,
1925,41.74123,0.37943,
1924,41.63071,0.38059,
1923,41.50614,0.38189,
1922,41.38074,0.38320,
1921,41.24349,0.38464,
1920,41.09754,0.38618,
1919,40.95149,0.38773,
1918,40.82273,0.38910,
1917,40.69981,0.39041,
1916,40.56615,0.39184,
1915,40.41415,0.39347,
1914,40.28929,0.39481,
1913,40.14316,0.39639,
1912,40.01941,0.39773,
1911,39.88215,0.39922,
1910,39.75524,0.40061,
1909,39.64482,0.40181,
1908,39.55072,0.40285,
1907,39.45361,0.40391,
1906,39.3423,0.40514,
1905,39.23146,0.40637,
1904,39.1276,0.40752,
1903,39.03354,0.40856,
1902,38.95111,0.40948,
1901,38.86263,0.41047,
1900,38.77299,0.41147,
1899,38.66992,0.41263,
1898,38.57352,0.41371,
1897,38.48046,0.41476,
1896,38.39418,0.41573,
1895,38.30469,0.41675,
1894,38.20051,0.41793,
1893,38.09734,0.41911,
1892,37.99464,0.42028,
1891,37.87938,0.42160,
1890,37.74352,0.42316,
1889,37.62037,0.42458,
1888,37.50446,0.42592,
1887,37.39177,0.42722,
1886,37.26583,0.42869,
1885,37.13471,0.43022,
1884,36.98621,0.43196,
1883,36.84572,0.43361,
1882,36.71218,0.43519,
1881,36.59272,0.43661,
1880,36.45975,0.43819,
1879,36.33416,0.43968,
1878,36.19956,0.44130,
1877,36.06405,0.44293,
1876,35.94851,0.44432,
1875,35.83765,0.44566,
1874,35.72509,0.44703,
1873,35.61395,0.44838,
1872,35.48964,0.44990,
1871,35.36222,0.45146,
1870,35.25492,0.45278,
1869,35.15565,0.45400,
1868,35.05066,0.45530,
1867,34.94408,0.45663,
1866,34.84206,0.45790,
1865,34.72947,0.45930,
1864,34.6264,0.46059,
1863,34.51441,0.46200,
1862,34.41262,0.46328,
1861,34.30731,0.46461,
1860,34.18679,0.46614,
1859,34.05116,0.46787,
1858,33.91095,0.46966,
1857,33.78293,0.47130,
1856,33.65128,0.47300,
1855,33.52475,0.47463,
1854,33.39538,0.47631,
1853,33.25417,0.47815,
1852,33.10355,0.48013,
1851,32.96127,0.48200,
1850,32.84069,0.48359,
1849,32.70869,0.48534,
1848,32.57124,0.48717,
1847,32.41732,0.48922,
1846,32.25907,0.49135,
1845,32.13408,0.49303,
1844,32.01294,0.49467,
1843,31.90033,0.49620,
1842,31.77121,0.49797,
1841,31.64038,0.49976,
1840,31.52005,0.50141,
1839,31.41295,0.50289,
1838,31.29384,0.50454,
1837,31.17887,0.50614,
1836,31.04938,0.50795,
1835,30.91615,0.50981,
1834,30.79396,0.51153,
1833,30.6801,0.51314,
1832,30.5667,0.51475,
1831,30.45005,0.51641,
1830,30.32694,0.51817,
1829,30.19623,0.52005,
1828,30.08743,0.52161,
1827,29.96374,0.52340,
1826,29.83785,0.52523,
1825,29.70256,0.52721,
1824,29.5794,0.52901,
1823,29.46371,0.53071,
1822,29.33878,0.53256,
1821,29.21168,0.53444,
1820,29.06366,0.53665,
1819,28.93082,0.53864,
1818,28.80083,0.54060,
1817,28.68125,0.54240,
1816,28.5452,0.54447,
1815,28.40808,0.54656,
1814,28.28621,0.54843,
1813,28.15711,0.55041,
1812,28.04211,0.55219,
1811,27.90751,0.55428,
1810,27.79187,0.55608,
1809,27.68219,0.55780,
1808,27.57204,0.55953,
1807,27.45812,0.56133,
1806,27.34102,0.56319,
1805,27.24233,0.56476,
1804,27.12297,0.56666,
1803,27.02292,0.56827,
1802,26.91001,0.57009,
1801,26.80073,0.57185,
1800,26.68224,0.57378,
1799,26.57543,0.57552,
1798,26.46878,0.57727,
1797,26.35234,0.57918,
1796,26.24319,0.58098,
1795,26.12227,0.58299,
1794,25.99822,0.58506,
1793,25.87556,0.58711,
1792,25.75775,0.58909,
1791,25.63472,0.59117,
1790,25.50779,0.59333,
1789,25.38363,0.59545,
1788,25.25852,0.59759,
1787,25.13132,0.59978,
1786,25.00614,0.60195,
1785,24.88123,0.60413,
1784,24.76924,0.60609,
1783,24.64093,0.60834,
1782,24.52253,0.61043,
1781,24.40093,0.61259,
1780,24.28527,0.61466,
1779,24.17057,0.61671,
1778,24.04553,0.61897,
1777,23.93343,0.62100,
1776,23.81392,0.62317,
1775,23.69507,0.62534,
1774,23.58216,0.62742,
1773,23.46614,0.62956,
1772,23.35585,0.63160,
1771,23.2469,0.63363,
1770,23.14862,0.63547,
1769,23.04425,0.63744,
1768,22.94486,0.63931,
1767,22.85592,0.64100,
1766,22.77004,0.64264,
1765,22.67897,0.64438,
1764,22.58784,0.64613,
1763,22.50259,0.64777,
1762,22.40824,0.64959,
1761,22.31721,0.65136,
1760,22.22887,0.65308,
1759,22.13698,0.65488,
1758,22.04241,0.65674,
1757,21.94976,0.65857,
1756,21.85498,0.66045,
1755,21.7531,0.66248,
1754,21.65591,0.66442,
1753,21.55277,0.66650,
1752,21.45028,0.66857,
1751,21.35664,0.67047,
1750,21.25072,0.67263,
1749,21.14721,0.67475,
1748,21.04595,0.67683,
1747,20.94253,0.67897,
1746,20.83596,0.68119,
1745,20.72328,0.68354,
1744,20.61266,0.68587,
1743,20.49496,0.68835,
1742,20.37567,0.69089,
1741,20.26802,0.69319,
1740,20.15752,0.69556,
1739,20.05462,0.69779,
1738,19.95941,0.69985,
1737,19.85762,0.70207,
1736,19.76359,0.70413,
1735,19.67966,0.70598,
1734,19.58966,0.70797,
1733,19.51101,0.70972,
1732,19.42993,0.71153,
1731,19.35342,0.71324,
1730,19.27732,0.71495,
1729,19.2003,0.71669,
1728,19.12438,0.71841,
1727,19.03727,0.72040,
1726,18.95348,0.72231,
1725,18.86805,0.72427,
1724,18.77694,0.72638,
1723,18.68666,0.72847,
1722,18.61047,0.73024,
1721,18.53011,0.73212,
1720,18.45715,0.73384,
1719,18.38398,0.73556,
1718,18.31699,0.73715,
1717,18.24274,0.73891,
1716,18.17278,0.74058,
1715,18.10455,0.74221,
1714,18.02537,0.74412,
1713,17.94395,0.74608,
1712,17.858,0.74817,
1711,17.76334,0.75048,
1710,17.66149,0.75297,
1709,17.56535,0.75534,
1708,17.45711,0.75803,
1707,17.34776,0.76076,
1706,17.24176,0.76342,
1705,17.11596,0.76660,
1704,16.99728,0.76962,
1703,16.87789,0.77268,
1702,16.7575,0.77579,
1701,16.64806,0.77864,
1700,16.54738,0.78127,
1699,16.46695,0.78339,
1698,16.39916,0.78518,
1697,16.3457,0.78660,
1696,16.29816,0.78786,
1695,16.24407,0.78931,
1694,16.18903,0.79078,
1693,16.11772,0.79270,
1692,16.03441,0.79495,
1691,15.94497,0.79738,
1690,15.86255,0.79963,
1689,15.78431,0.80177,
1688,15.71653,0.80364,
1687,15.66345,0.80511,
1686,15.61865,0.80636,
1685,15.58263,0.80736,
1684,15.54986,0.80827,
1683,15.51156,0.80934,
1682,15.47007,0.81051,
1681,15.4166,0.81201,
1680,15.34589,0.81401,
1679,15.26222,0.81638,
1678,15.1604,0.81929,
1677,15.05278,0.82238,
1676,14.93443,0.82581,
1675,14.8157,0.82928,
1674,14.69532,0.83282,
1673,14.57676,0.83634,
1672,14.46646,0.83964,
1671,14.36805,0.84260,
1670,14.28858,0.84501,
1669,14.21391,0.84729,
1668,14.16301,0.84884,
1667,14.12667,0.84996,
1666,14.10302,0.85069,
1665,14.08749,0.85117,
1664,14.07602,0.85152,
1663,14.06265,0.85193,
1662,14.04067,0.85261,
1661,14.01227,0.85349,
1660,13.97207,0.85474,
1659,13.92492,0.85621,
1658,13.87121,0.85789,
1657,13.80511,0.85996,
1656,13.73738,0.86210,
1655,13.66217,0.86448,
1654,13.58357,0.86699,
1653,13.49559,0.86981,
1652,13.4066,0.87268,
1651,13.32031,0.87549,
1650,13.22638,0.87856,
1649,13.13491,0.88157,
1648,13.04986,0.88439,
1647,12.96552,0.88721,
1646,12.88789,0.88982,
1645,12.81472,0.89229,
1644,12.74187,0.89477,
1643,12.66771,0.89730,
1642,12.59801,0.89970,
1641,12.51352,0.90262,
1640,12.4351,0.90535,
1639,12.3514,0.90828,
1638,12.26843,0.91121,
1637,12.17912,0.91438,
1636,12.09169,0.91751,
1635,12.00595,0.92060,
1634,11.91589,0.92387,
1633,11.83149,0.92696,
1632,11.75145,0.92991,
1631,11.66466,0.93313,
1630,11.58287,0.93618,
1629,11.50837,0.93899,
1628,11.41688,0.94245,
1627,11.33582,0.94555,
1626,11.25172,0.94878,
1625,11.16383,0.95219,
1624,11.07836,0.95552,
1623,10.98917,0.95904,
1622,10.89815,0.96265,
1621,10.80277,0.96646,
1620,10.70872,0.97026,
1619,10.61611,0.97403,
1618,10.52495,0.97778,
1617,10.43241,0.98162,
1616,10.3412,0.98543,
1615,10.24581,0.98945,
1614,10.15167,0.99346,
1613,10.06102,0.99736,
1612,9.97122,1.00125,
1611,9.88148,1.00518,
1610,9.79273,1.00910,
1609,9.70018,1.01322,
1608,9.61488,1.01706,
1607,9.52619,1.02108,
1606,9.44732,1.02469,
1605,9.36164,1.02865,
1604,9.28345,1.03229,
